pitch_type,zone,stand,type,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,at_bat_number,pitch_number,bat_score,fld_score,years_since_2015
1,4.0,0,1,3,1,0,0,1,0,1,2,5,0,0,0.02737850787132101
1,11.0,0,1,3,2,0,0,1,0,1,2,6,0,0,0.02737850787132101
1,9.0,1,1,0,0,0,0,0,2,1,3,1,0,0,0.02737850787132101
4,11.0,1,1,0,1,0,0,0,2,1,3,2,0,0,0.02737850787132101
2,14.0,1,0,0,2,0,0,0,2,1,3,3,0,0,0.02737850787132101
2,9.0,1,1,1,2,0,0,0,2,1,3,4,0,0,0.02737850787132101
1,12.0,1,0,0,0,0,0,0,0,2,8,1,0,0,0.02737850787132101
1,2.0,1,1,1,0,0,0,0,0,2,8,2,0,0,0.02737850787132101
1,1.0,1,0,1,1,0,0,0,0,2,8,3,0,0,0.02737850787132101
1,3.0,1,1,2,1,0,0,0,0,2,8,4,0,0,0.02737850787132101
3,13.0,1,1,2,2,0,0,0,0,2,8,5,0,0,0.02737850787132101
2,8.0,1,2,0,0,0,0,0,1,2,9,1,0,0,0.02737850787132101
1,14.0,1,0,0,0,0,0,0,2,2,10,1,0,0,0.02737850787132101
1,9.0,1,1,1,0,0,0,0,2,2,10,2,0,0,0.02737850787132101
4,7.0,1,2,1,1,0,0,0,2,2,10,3,0,0,0.02737850787132101
5,13.0,0,1,0,0,0,0,0,0,3,16,1,0,1,0.02737850787132101
1,11.0,0,0,0,1,0,0,0,0,3,16,2,0,1,0.02737850787132101
1,11.0,0,1,1,1,0,0,0,0,3,16,3,0,1,0.02737850787132101
2,6.0,0,1,1,2,0,0,0,0,3,16,4,0,1,0.02737850787132101
1,12.0,0,1,1,2,0,0,0,0,3,16,5,0,1,0.02737850787132101
1,9.0,1,1,0,0,0,0,0,1,3,17,1,0,1,0.02737850787132101
2,14.0,1,0,0,1,0,0,0,1,3,17,2,0,1,0.02737850787132101
1,1.0,1,1,1,1,0,0,0,1,3,17,3,0,1,0.02737850787132101
1,14.0,1,0,1,2,0,0,0,1,3,17,4,0,1,0.02737850787132101
2,14.0,1,0,2,2,0,0,0,1,3,17,5,0,1,0.02737850787132101
1,4.0,1,2,3,2,0,0,0,1,3,17,6,0,1,0.02737850787132101
1,9.0,1,1,0,0,0,0,1,1,3,18,1,0,1,0.02737850787132101
