,IDfg,Name,Age,PA,AVG,BB%,K%,BB/K,OBP,SLG,Spd,wRAA,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%
219,12979,Javier Baez,28,1137,0.251,0.047,0.29100000000000004,0.16,0.298,0.441,5.7,4.7,-0.12,0.09,2.32,1.53,0.53,-4.5,,0.47600000000000003,0.732,0.563,0.542,0.774,0.644,0.33899999999999997,0.653,0.20199999999999999
76,18882,Brandon Lowe,27,881,0.239,0.10800000000000001,0.259,0.42,0.33,0.481,4.3,24.1,1.06,-0.51,1.5,2.48,0.6,0.53,,0.33899999999999997,0.7929999999999999,0.526,0.53,0.7829999999999999,0.687,0.413,0.62,0.165
111,11445,Mark Canha,33,1167,0.248,0.107,0.193,0.56,0.362,0.394,4.8,24.1,0.9,0.43,-0.55,0.09,1.55,3.49,,0.259,0.632,0.41600000000000004,0.6970000000000001,0.861,0.8009999999999999,0.42,0.5920000000000001,0.083
79,16578,Yandy Diaz,30,1099,0.276,0.134,0.132,1.01,0.378,0.405,2.3,29.6,1.22,0.34,-1.4,2.11,-0.35,0.38,,0.22899999999999998,0.6709999999999999,0.42,0.7190000000000001,0.904,0.846,0.43200000000000005,0.541,0.064
49,20043,Luis Robert,24,697,0.307,0.044000000000000004,0.198,0.22,0.344,0.485,4.6,25.3,1.09,0.74,-1.26,2.2,3.99,4.35,,0.46799999999999997,0.848,0.615,0.603,0.872,0.746,0.385,0.687,0.156
75,11609,Willson Contreras,30,970,0.24,0.1,0.248,0.4,0.344,0.452,3.5,27.3,1.22,0.44,0.76,1.34,-0.51,-7.11,,0.33,0.6970000000000001,0.47600000000000003,0.524,0.821,0.6970000000000001,0.39899999999999997,0.629,0.14400000000000002
81,17982,Ty France,27,1263,0.283,0.064,0.158,0.41,0.353,0.44,1.7,34.1,0.7,0.84,1.35,1.44,0.53,-1.27,,0.349,0.76,0.513,0.6779999999999999,0.9259999999999999,0.8240000000000001,0.39899999999999997,0.5760000000000001,0.09
143,15112,Ryan McMahon,27,1193,0.25,0.1,0.256,0.39,0.329,0.431,3.9,17.2,0.04,-0.2,0.7,1.23,1.1,0.17,,0.28800000000000003,0.701,0.469,0.594,0.8170000000000001,0.74,0.439,0.65,0.122
21,16478,Kyle Schwarber,28,1140,0.238,0.132,0.287,0.46,0.344,0.525,4.1,53.9,1.69,0.52,0.54,1.11,0.85,-0.44,6.67,0.243,0.643,0.40700000000000003,0.5820000000000001,0.8109999999999999,0.731,0.41100000000000003,0.578,0.11
28,23697,Julio Rodriguez,21,560,0.284,0.071,0.259,0.28,0.345,0.509,6.2,25.1,1.82,0.34,1.69,2.9,1.04,-2.42,,0.371,0.7140000000000001,0.502,0.586,0.8190000000000001,0.7120000000000001,0.382,0.645,0.14400000000000002
