id,NYA202206280
version,2
info,visteam,OAK
info,hometeam,NYA
info,site,NYC21
info,date,2022/06/28
info,number,0
info,starttime,7:05PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,sches901
info,ump1b,vondc901
info,ump2b,buckc901
info,ump3b,gonzm901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:25:36
info,howscored,unknown
info,pitches,pitches
info,oscorer,altmb701
info,temp,77
info,winddir,ltor
info,windspeed,6
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,183
info,attendance,38051
info,wp,searj001
info,lp,montf001
info,save,holmc001
start,allen002,"Nick Allen",0,1,4
start,laurr001,"Ramon Laureano",0,2,9
start,bethc001,"Christian Bethancourt",0,3,3
start,murps001,"Sean Murphy",0,4,2
start,piscs001,"Stephen Piscotty",0,5,10
start,andre001,"Elvis Andrus",0,6,6
start,pindc001,"Chad Pinder",0,7,7
start,neuss001,"Sheldon Neuse",0,8,5
play,1,0,alonp001,31,2SBBBX,3/P2F/FL
play,1,0,voged001,32,CBCBB>F>S,K
play,1,1,benia002,01,CX,7/F78D
play,1,1,lemad001,01,CX,43/G4M
play,1,1,judga001,01,CX,8/F8D+
play,2,0,mcnej002,01,CX,S9/G34
play,2,0,canhm001,00,1H,HP.1-2
play,2,0,batyb001,12,CC*BX,46(1)/FO/G4.2-3;B-1
play,2,0,nidot001,00,X,64(1)3/GDP/G6M
play,2,1,rizza001,21,FBBX,5/P5SF-/FL
play,2,1,torrg001,22,BFSBC,K
play,2,1,donaj001,31,SBBBX,8/L8
play,3,0,nimmb001,22,BCBSS,K
play,3,0,marts002,32,BBBCSFC,K
play,3,0,lindf001,22,CBBF*S,K
play,3,1,cabro002,01,CX,13/G1S
play,3,1,kinei001,11,CBX,63/G6
play,3,1,higak001,12,CFBS,K
play,4,0,alonp001,22,FBBFS,K
play,4,0,voged001,22,BCCBS,K
play,4,0,mcnej002,00,X,43/G34+
play,4,1,benia002,00,X,S9/L9
play,4,1,lemad001,22,1BCCFBX,54(1)3/GDP/G56
play,4,1,judga001,32,CBSBBFX,HR/F7D
play,4,1,rizza001,11,BCX,S8/L8S
play,4,1,torrg001,20,BBX,S7/L78D.1-2
play,4,1,donaj001,31,B*BCBB,W.2-3;1-2
play,4,1,cabro002,32,BSCBFB>B,W.3-H;2-3;1-2
play,4,1,kinei001,12,BCTX,63/G6
play,5,0,canhm001,12,CBFFX,D8/F89XD
play,5,0,batyb001,00,X,C/E2.B-1
play,5,0,nidot001,10,BX,34/SH/BG2.2-3;1-2
play,5,0,nimmb001,12,FBSX,5/L56
play,5,0,marts002,01,SX,S9/G34+.3-H;2XH(92)
play,5,1,higak001,32,CFFBBFBS,K
play,5,1,benia002,12,CBFX,9/L89D
play,5,1,lemad001,21,BBCX,8/L8D+
play,6,0,lindf001,20,BBX,31/G3D
play,6,0,alonp001,20,BBX,S8/G4M+
play,6,0,voged001,02,FFFFX,8/F8XD
play,6,0,mcnej002,21,FBBX,D8/L89XD.1-H(NR)
play,6,0,canhm001,00,,NP
sub,schmc002,"Clarke Schmidt",1,0,1
play,6,0,canhm001,22,.BBSCX,63/G56
play,6,1,judga001,00,,NP
