id,NYN202205290
version,2
info,visteam,PHI
info,hometeam,NYN
info,site,NYC20
info,date,2022/05/29
info,number,0
info,starttime,7:08PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,willr901
info,ump1b,ticht901
info,ump2b,rehaj901
info,ump3b,porta901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:25:01
info,howscored,unknown
info,pitches,pitches
info,oscorer,sprej701
info,temp,70
info,winddir,tolf
info,windspeed,8
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,231
info,attendance,36513
info,wp,diaze006
info,lp,knebc001
info,save,
start,schwk001,"Kyle Schwarber",0,1,7
start,bohma001,"Alec Bohm",0,2,5
start,harpb003,"Bryce Harper",0,3,10
start,castn001,"Nick Castellanos",0,4,9
start,seguj002,"Jean Segura",0,5,4
start,hoskr001,"Rhys Hoskins",0,6,3
start,realj001,"J.T. Realmuto",0,7,2
start,herro001,"Odubel Herrera",0,8,8
play,6,1,mcnej002,11,BFX,8/L78D
play,6,1,mccaj001,12,CFBS,K
play,7,0,marsb002,02,CFX,63/G6M+
play,7,0,vierm001,12,BSFFS,K
play,7,0,stotb001,01,CX,S7/L7S
play,7,0,hoskr001,20,BBX,6/P6MS
play,7,1,nimmb001,00,,NP
sub,knebc001,"Corey Knebel",0,0,1
play,7,1,nimmb001,30,.BBBB,W
play,7,1,marts002,22,CBBFFS,K
play,7,1,lindf001,31,C*BBB,NP
sub,bella001,"Andrew Bellatti",0,0,1
play,7,1,lindf001,31,C*BBB.B,W.1-2
play,7,1,alonp001,12,SBCX,5(2)/FO/G56S.1-2;B-1
play,7,1,voged001,22,BCC*BS,K
play,8,0,bohma001,00,,NP
sub,givem001,"Mychal Givens",1,0,1
play,8,0,bohma001,32,.FSFBBBX,43/G34
com,"$Mets third baseman Luis Guillorme left the game due to an injured groin."
play,8,0,realj001,32,.BBFBCT,K
play,8,0,castn001,22,STBBX,D7/L5D+
play,8,0,halld003,02,CFS,K
play,8,1,canhm001,00,,NP
sub,handb001,"Brad Hand",0,0,1
play,8,1,canhm001,22,.CBSFBC,K
badj,escoe001,L
play,8,1,escoe001,10,BX,5/P5F/FL
play,8,1,mcnej002,22,BFCBX,D9/L9LD
play,8,1,mccaj001,32,BBBCFS,K
play,9,0,seguj002,00,,NP
sub,rodrj004,"Joely Rodriguez",1,0,1
play,9,0,seguj002,01,.CX,S5/G6S
play,9,0,marsb002,00,,NP
sub,sosae001,"Edmundo Sosa",0,8,11
play,9,0,sosae001,32,.*BBBCFFX,S7/L7S.1-2
play,9,0,vierm001,12,BFFS,K
play,9,0,stotb001,02,CSS,K
play,9,0,hoskr001,32,BCBSB>B,W.2-3;1-2
play,9,0,bohma001,00,,NP
sub,ottaa001,"Adam Ottavino",1,0,1
play,9,0,bohma001,12,.CBSC,K
data,er,wheez001,6
data,er,knebc001,0
data,er,bella001,0
data,er,handb001,0
data,er,willt002,0
data,er,rodrj004,0
data,er,ottaa001,0
data,er,bassc001,0
data,er,givem001,0
