id,OAK202204180
version,2
info,visteam,BAL
info,hometeam,OAK
info,site,OAK01
info,date,2022/04/18
info,number,0
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,drakr901
info,ump1b,littw901
info,ump2b,gibsg901
info,ump3b,mahrn901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:16
info,howscored,unknown
info,pitches,pitches
info,oscorer,thomc701
info,temp,60
info,winddir,unknown
info,windspeed,15
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,179
info,attendance,17503
info,wp,montf001
info,lp,krehj001
info,save,
start,mullc002,"Cedric Mullins",0,1,8
start,mounr001,"Ryan Mountcastle",0,2,3
start,santa003,"Anthony Santander",0,3,7
start,manct001,"Trey Mancini",0,4,10
start,odorr001,"Rougned Odor",0,5,4
start,uriar001,"Ramon Urias",0,6,5
start,haysa001,"Austin Hays",0,7,9
start,bemba001,"Anthony Bemboom",0,8,2
play,4,1,lowrj001,31,BBCB>X,5/P5D
play,5,0,millo002,10,BX,8/F89
play,5,0,ramij003,31,BFBBB,W
play,5,0,naylj001,00,1X,6/P5DF/FL
play,5,0,reyef001,32,BBSBS>S,K
play,5,1,murps001,00,,NP
sub,hents001,"Sam Hentges",0,0,1
play,5,1,murps001,00,.X,163/G6
play,5,1,brows003,22,FBCBS,K
play,5,1,pindc001,10,BX,53/G56
play,6,0,gimea001,00,,NP
sub,molls001,"Sam Moll",1,0,1
play,6,0,gimea001,22,.MBSBX,43/G34
play,6,0,cleme002,22,CCBBFFFFX,53/G56
play,6,0,palar002,30,BBBB,W
play,6,0,hedga001,00,,NP
sub,grimj002,"Justin Grimm",1,0,1
play,6,0,hedga001,00,.X,6/P6
play,6,1,mckib001,02,LCC,K
play,6,1,andre001,00,,NP
sub,deloe001,"Enyel De Los Santos",0,0,1
play,6,1,andre001,22,.FBFBX,S39/L9
play,6,1,pachc001,00,X,23/BG2.1-2
com,"$Guardians challenged (play at 1st), call on the field was overturned."
play,6,1,kempt001,02,FFH,HP
play,6,1,neuss001,22,BFSFB>X,T9/L9LD.2-H;1-H
play,6,1,lowrj001,12,FBSS,K
play,7,0,stram002,10,BX,D8/L89
play,7,0,millo002,22,CFF*B*BFX,D7/F7LS.2-3
play,7,0,ramij003,00,,NP
sub,acevd001,"Domingo Acevedo",1,0,1
play,7,0,ramij003,22,.CBBFX,D9/L9LD.3-H;2-H
play,7,0,naylj001,12,BCCFX,HR/F89XD.2-H
play,7,0,reyef001,12,BCSS,K
play,7,0,gimea001,01,CX,S9/L9+
play,7,0,cleme002,00,1X,54(1)3/GDP/G56
play,7,1,murps001,00,,NP
sub,merco003,"Oscar Mercado",0,2,9
play,7,1,murps001,00,.,NP
sub,naylj001,"Josh Naylor",0,4,3
play,7,1,murps001,00,..,NP
sub,stept002,"Trevor Stephan",0,0,1
play,7,1,murps001,10,...BX,63/G6M
play,7,1,brows003,12,TBSFS,K
play,7,1,pindc001,12,FCB*S,K.BX1(23)
play,8,0,palar002,00,,NP
sub,smitk003,"Kevin Smith",1,1,5
play,8,0,palar002,00,.,NP
sub,neuss001,"Sheldon Neuse",1,2,4
play,8,0,palar002,00,..,NP
sub,puk-a001,"A.J. Puk",1,0,1
play,8,0,palar002,22,...SCBBC,K
play,8,0,hedga001,12,CFFBS,K
play,8,0,stram002,01,CX,D9/L9LD
play,8,0,merco003,31,BBCBX,53/G56
play,8,1,mckib001,02,FCX,31/G34
play,8,1,andre001,01,CX,8/F89XD
play,8,1,pachc001,02,FFX,43/G4
play,9,0,ramij003,22,SBBFFX,6/L6
play,9,0,naylj001,12,SCBS,K
play,9,0,reyef001,12,SSBFS,K
play,9,1,smitk003,00,,NP
sub,clase001,"Emmanuel Clase",0,0,1
play,9,1,smitk003,02,.CFX,D9/G3
play,9,1,neuss001,02,FFX,31/G34.2-3
play,9,1,lowrj001,20,BBX,43/G34
play,9,1,murps001,12,CBFS,K
data,er,clase001,0
data,er,deloe001,2
data,er,civaa001,6
data,er,hents001,0
data,er,stept002,0
data,er,grimj002,2
data,er,montf001,5
data,er,puk-a001,0
data,er,molls001,0
data,er,acevd001,2
id,OAK202205040
version,2
info,visteam,TBA
info,hometeam,OAK
info,site,OAK01
info,date,2022/05/04
info,number,0
info,starttime,12:37PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,reybd901
info,ump1b,herna901
info,ump2b,hoyej901
info,ump3b,wolfj901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:33
info,howscored,unknown
info,pitches,pitches
info,oscorer,feldd701
info,temp,74
info,winddir,unknown
info,windspeed,8
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,159
info,attendance,4838
info,wp,feyej001
info,lp,jackz002
info,save,kitta001
start,diazy001,"Yandy Diaz",0,1,3
start,franw002,"Wander Franco",0,2,10
start,arozr001,"Randy Arozarena",0,3,7
start,loweb001,"Brandon Lowe",0,4,4
start,margm001,"Manuel Margot",0,5,9
start,wallt003,"Taylor Walls",0,6,6
start,zunim001,"Mike Zunino",0,7,2
start,parei001,"Isaac Paredes",0,8,5
start,philb002,"Brett Phillips",0,9,8
start,klubc001,"Corey Kluber",0,0,1
start,kempt001,"Tony Kemp",1,1,4
start,neuss001,"Sheldon Neuse",1,2,5
start,lowrj001,"Jed Lowrie",1,3,10
start,murps001,"Sean Murphy",1,4,2
start,brows003,"Seth Brown",1,5,3
start,piscs001,"Stephen Piscotty",1,6,9
start,pindc001,"Chad Pinder",1,7,7
start,smitk003,"Kevin Smith",1,8,6
start,pachc001,"Cristian Pache",1,9,8
start,montf001,"Frankie Montas",1,0,1
play,1,0,diazy001,22,FCBBFX,63/G6
play,1,0,franw002,10,BX,3/G3
play,1,0,arozr001,22,BSCBFFFX,53/G56
play,1,1,kempt001,01,CX,8/F8D
play,1,1,neuss001,12,SBFS,K
play,1,1,lowrj001,20,BBX,63/G4
play,2,0,loweb001,32,BBBCSS,K
play,2,0,margm001,32,FBBBCX,3/P3SF/FL
play,2,0,wallt003,22,SCBBFFS,K
play,2,1,murps001,01,SX,63/G6
play,2,1,brows003,02,CCX,T9/F89D+
play,2,1,piscs001,02,FSS,K
play,2,1,pindc001,22,BCBFS,K
play,3,0,zunim001,30,BBBB,W
play,3,0,parei001,02,CSS,K
play,3,0,philb002,10,BX,8/F89XD
play,3,0,diazy001,11,C*BX,64(1)/FO/G56.B-1
play,3,1,smitk003,00,X,63/G6
play,3,1,pachc001,00,X,43/G6M
play,3,1,kempt001,12,BLFC,K
play,4,0,franw002,22,BBCTX,2/P3SF/FL
play,4,0,arozr001,10,BX,9/F9
play,4,0,loweb001,00,X,S8/G6M
play,4,0,margm001,11,1B>F1X,S7/L78S.1-2
play,4,0,wallt003,01,CX,6(1)/FO/G6.B-1
play,4,1,neuss001,22,SBCBC,K
play,4,1,lowrj001,21,FBBX,S9/L89D
play,4,1,murps001,32,CBFBBFB,W.1-2
play,4,1,brows003,02,CFS,K
play,4,1,piscs001,00,X,8/F89D
play,5,0,zunim001,00,X,8/F8
play,5,0,parei001,11,CBX,S8/L8D+
play,5,0,philb002,22,*SB1SB*S,K
play,5,0,diazy001,12,BFFX,4/P3D
play,5,1,pindc001,11,BFX,63/G6
