id,SDN202206220
version,2
info,visteam,ARI
info,hometeam,SDN
info,site,SAN02
info,date,2022/06/22
info,number,0
info,starttime,1:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,drakr901
info,ump1b,littw901
info,ump2b,johna901
info,ump3b,bacoj901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:25:30
info,howscored,unknown
info,pitches,pitches
info,oscorer,womab701
info,temp,75
info,winddir,ltor
info,windspeed,13
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,213
info,attendance,31024
info,wp,morea001
info,lp,bumgm001
info,save,martn002
start,varsd001,"Daulton Varsho",0,1,9
start,thoma004,"Alek Thomas",0,2,8
start,rojaj001,"Josh Rojas",0,3,5
start,walkc002,"Christian Walker",0,4,10
start,smitp002,"Pavin Smith",0,5,3
start,luplj001,"Jordan Luplow",0,6,7
start,perdg001,"Geraldo Perdomo",0,7,6
start,hagej001,"Jake Hager",0,8,4
sub,martn002,"Nick Martinez",1,0,1
play,8,0,thoma004,11,...BSX,31/G3
play,8,0,martk001,32,BCCFFFBBX,S7/G56-
play,8,0,walkc002,22,CBBSX,63/G6S.1-2
play,8,0,perad001,01,*SX,9/F89D
play,8,1,hosme001,00,,NP
sub,smitc006,"Caleb Smith",0,0,1
play,8,1,hosme001,12,.FBFFFX,7/F7LD
play,8,1,nolaa002,32,CFBBBS,K
play,8,1,grist001,12,BFFX,7/F7LS
play,9,0,varsd001,00,,NP
sub,cronj001,"Jake Cronenworth",1,2,3
play,9,0,varsd001,00,.,NP
sub,abrac001,"C.J. Abrams",1,6,4
play,9,0,varsd001,00,..,NP
sub,roget001,"Taylor Rogers",1,0,1
play,9,0,varsd001,00,...,NP
sub,kennb002,"Buddy Kennedy",0,6,11
play,9,0,kennb002,12,....CBCFX,9/F9S
play,9,0,kellc002,01,SX,5/L5D
play,9,0,alcas002,00,,NP
sub,luplj001,"Jordan Luplow",0,8,11
play,9,0,luplj001,02,.FSFC,K
data,er,bumgm001,4
data,er,nelsk001,0
data,er,weavl001,0
data,er,smitc006,0
data,er,martn002,0
data,er,darvy001,3
data,er,roget001,0
