id,ARI202204070
version,2
info,visteam,SDN
info,hometeam,ARI
info,site,PHO01
info,date,2022/04/07
info,number,0
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,vanol901
info,ump1b,belld901
info,ump2b,barbs901
info,ump3b,valej901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:00
info,howscored,unknown
info,pitches,pitches
info,oscorer,black701
info,temp,93
info,winddir,ltor
info,windspeed,6
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,198
info,attendance,35508
info,wp,mantj002
info,lp,suarr002
info,save,
start,nolaa002,"Austin Nola",0,1,2
start,machm001,"Manny Machado",0,2,5
start,cronj001,"Jake Cronenworth",0,3,4
start,voitl001,"Luke Voit",0,4,10
start,myerw001,"Wil Myers",0,5,9
start,hosme001,"Eric Hosmer",0,6,3
start,profj001,"Jurickson Profar",0,7,7
start,kim-h002,"Ha-Seong Kim",0,8,6
play,9,0,penaj004,00,,NP
sub,melam001,"Mark Melancon",1,0,1
play,9,0,penaj004,00,.X,9/F9L
play,9,0,castj006,32,CBBFBX,63/G6M
play,9,0,sirij001,22,CBBSX,D9/L89D+
play,9,0,altuj001,31,B*BBC*B,W
play,9,0,branm003,00,X,S7/G56.2-H;1-3
play,9,0,brega001,21,BBSX,8/F8XD
play,9,1,beers001,00,,NP
sub,presr001,"Ryan Pressly",0,0,1
play,9,1,beers001,10,.BX,S9/L89D+
play,9,1,herny003,00,,NP
sub,mccaj003,"Jake McCarthy",1,6,12
play,9,1,herny003,00,.X,53/SH/BG1S-.1-2
play,9,1,perdg001,02,CCX,31/G3.2-3
play,9,1,herrj003,00,,NP
sub,kellc002,"Carson Kelly",1,9,11
play,9,1,kellc002,22,.SBBSS,K
data,er,taylb004,0
data,er,abreb002,1
data,er,nerih001,0
data,er,presr001,0
data,er,garcl007,0
data,er,matop002,0
data,er,bumgm001,1
data,er,kenni001,0
data,er,mantj002,0
data,er,melam001,1
data,er,ramin002,0
data,er,wendj001,0
id,ARI202204240
version,2
info,visteam,NYN
info,hometeam,ARI
info,site,PHO01
info,date,2022/04/24
info,number,0
info,starttime,1:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,gibsg901
info,ump1b,mahrn901
info,ump2b,drakr901
info,ump3b,littw901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:23
info,howscored,unknown
info,pitches,pitches
info,oscorer,magrj701
info,temp,73
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,176
info,attendance,23570
info,wp,megit002
info,lp,wendj001
info,save,
start,canhm001,"Mark Canha",0,1,7
start,marts002,"Starling Marte",0,2,9
start,lindf001,"Francisco Lindor",0,3,6
start,alonp001,"Pete Alonso",0,4,3
start,escoe001,"Eduardo Escobar",0,5,5
start,davij006,"J.D. Davis",0,6,10
start,guill001,"Luis Guillorme",0,7,4
start,mccaj001,"James McCann",0,8,2
start,jankt001,"Travis Jankowski",0,9,8
start,megit002,"Tylor Megill",0,0,1
start,varsd001,"Daulton Varsho",1,1,8
start,alcas002,"Sergio Alcantara",1,2,5
start,perad001,"David Peralta",1,3,7
start,walkc002,"Christian Walker",1,4,3
start,beers001,"Seth Beer",1,5,10
start,mccaj003,"Jake McCarthy",1,6,9
start,perdg001,"Geraldo Perdomo",1,7,4
start,ahmen001,"Nick Ahmed",1,8,6
start,herrj003,"Jose Herrera",1,9,2
start,bumgm001,"Madison Bumgarner",1,0,1
play,1,0,canhm001,02,CCX,S5/G5S.B-2(E5/TH)
play,1,0,marts002,00,X,63/G6
play,1,0,lindf001,32,B*BBCC>X,S8/L8.2-H(UR)
play,1,0,alonp001,22,CFBFBFS,K
play,1,0,escoe001,21,1BBCX,54(1)/FO/G5.B-1
play,1,1,varsd001,02,CCS,K
play,1,1,alcas002,10,BX,7/F7L
play,1,1,perad001,02,FCS,K
play,2,0,davij006,32,BBCCBX,S8/L8D
play,2,0,guill001,12,CFBS,K
play,2,0,mccaj001,11,C*BX,64(1)3/GDP/G6
play,2,1,walkc002,12,BCCC,K
play,2,1,beers001,00,X,13/G1S
play,2,1,mccaj003,02,CSS,K
play,3,0,jankt001,22,BCCBX,43/G4+
play,3,0,canhm001,02,CCC,K
play,3,0,marts002,32,BBBCSFX,63/G56D
play,3,1,perdg001,31,BBBCX,4/L4D
play,3,1,ahmen001,02,FFFX,43/G6M
play,3,1,herrj003,31,CBBBB,W
play,3,1,varsd001,00,X,S9/L9D.1-2
play,3,1,alcas002,12,CBSC,K
play,4,0,lindf001,02,CCX,S3/G34
play,4,0,alonp001,10,BX,54(1)/FO/G5.B-1
play,4,0,escoe001,12,BFFX,8/F8
play,4,0,davij006,22,CFBBC,K
play,4,1,perad001,12,CSBFX,5/P1
play,4,1,walkc002,21,BSBX,HR/F78XD
play,4,1,beers001,20,BBX,3/G3S
play,4,1,mccaj003,01,SX,7/F1S
play,5,0,guill001,32,FCFBBFBFFX,163/G6M
play,5,0,mccaj001,10,BX,9/F89D
play,5,0,jankt001,11,CBX,63/G6M
play,5,1,perdg001,12,CBFS,K
play,5,1,ahmen001,10,BX,D7/L7LD+
play,5,1,herrj003,02,SFX,8/F89
play,5,1,varsd001,02,FFFX,9/F9D
play,6,0,canhm001,00,,NP
sub,wendj001,"J.B. Wendelken",1,0,1
play,6,0,canhm001,32,.BBBCSS,K
play,6,0,marts002,10,BX,D8/L78+
play,6,0,lindf001,01,C>B,SB3.2-H(E2/TH)(NR)
play,6,0,lindf001,11,C>B.X,7/F7LD
play,6,0,alonp001,11,BSX,43/G6D
play,6,1,alcas002,22,BCFBFX,31/G3
play,6,1,perad001,22,FBFBX,6/L6
play,6,1,walkc002,22,CBBTS,K
play,7,0,escoe001,00,,NP
sub,ucete001,"Edwin Uceta",1,0,1
play,7,0,escoe001,12,.CCBX,9/F89
play,7,0,davij006,32,SBFBBF*B,W
play,7,0,guill001,02,1CCX,S8/L8.1-2
play,7,0,mccaj001,00,H,HP.2-3;1-2
play,7,0,jankt001,30,BBBB,W.3-H;2-3;1-2
play,7,0,canhm001,01,SX,7/F6D
play,7,0,marts002,00,,NP
sub,widet001,"Taylor Widener",1,0,1
play,7,0,marts002,12,.CBCFH,HP.3-H;2-3;1-2
play,7,0,lindf001,12,FFBT,K
play,7,1,beers001,22,CFBFBX,63/G4+
play,7,1,mccaj003,01,CX,8/F8XD
play,7,1,perdg001,10,BX,D9/G3
play,7,1,ahmen001,12,BCFX,S7/L7.2-H
play,7,1,herrj003,00,,NP
sub,lugos001,"Seth Lugo",0,0,1
play,7,1,herrj003,00,.,NP
sub,smitp002,"Pavin Smith",1,9,11
play,7,1,smitp002,01,..CX,8/L8XD
play,8,0,alonp001,00,,NP
sub,varsd001,"Daulton Varsho",1,1,2
play,8,0,alonp001,00,.,NP
sub,mccaj003,"Jake McCarthy",1,6,8
play,8,0,alonp001,00,..,NP
sub,smitp002,"Pavin Smith",1,9,9
play,8,0,alonp001,01,...CX,31/G34
play,8,0,escoe001,00,X,9/L9D+
play,8,0,davij006,10,BX,HR/F9D
play,8,0,guill001,00,,NP
sub,pereo002,"Oliver Perez",1,0,1
play,8,0,guill001,01,.CX,D8/L89D
play,8,0,mccaj001,02,CSX,E5/G56.2-H(NR)(UR);B-1
play,8,0,jankt001,10,BX,S8/G6M.1-2
play,8,0,canhm001,12,BCFX,8/F8XD
play,8,1,varsd001,00,,NP
sub,nimmb001,"Brandon Nimmo",0,1,8
play,8,1,varsd001,00,.,NP
sub,jankt001,"Travis Jankowski",0,9,7
play,8,1,varsd001,32,..CBBFBX,123/G1S
play,8,1,alcas002,01,CX,S7/L78
play,8,1,perad001,00,X,43/G34.1-2
play,8,1,walkc002,10,BX,8/F1S
play,9,0,marts002,00,,NP
sub,martc009,"Corbin Martin",1,0,1
play,9,0,marts002,00,.X,43/G34
play,9,0,lindf001,20,BBX,3/L3D+
play,9,0,alonp001,00,X,S7/L7L+
play,9,0,escoe001,00,X,3/L3
play,9,1,beers001,00,,NP
sub,smitd008,"Dominic Smith",0,4,3
play,9,1,beers001,00,.,NP
sub,rodrj004,"Joely Rodriguez",0,0,1
play,9,1,beers001,32,..CCBBBC,K
play,9,1,mccaj003,00,,NP
sub,hummc001,"Cooper Hummel",1,6,11
play,9,1,hummc001,02,.SFC,K
play,9,1,perdg001,00,,NP
sub,martk001,"Ketel Marte",1,7,11
play,9,1,martk001,12,.STBX,4/L6MD
data,er,rodrj004,0
data,er,lugos001,0
data,er,megit002,2
data,er,bumgm001,0
data,er,martc009,0
data,er,pereo002,0
data,er,ucete001,2
data,er,widet001,1
data,er,wendj001,1
id,ARI202205100
version,2
info,visteam,MIA
info,hometeam,ARI
info,site,PHO01
info,date,2022/05/10
info,number,0
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,drecb901
info,ump1b,mosce901
info,ump2b,hobep901
info,ump3b,emmep901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:40
info,howscored,unknown
info,pitches,pitches
info,oscorer,rausg701
info,temp,88
info,winddir,ltor
info,windspeed,10
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,197
info,attendance,8855
info,wp,bumgm001
