id,MIN202205290
version,2
info,visteam,KCA
info,hometeam,MIN
info,site,MIN04
info,date,2022/05/29
info,number,0
info,starttime,1:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,addir901
info,ump1b,welkb901
info,ump2b,bakej902
info,ump3b,becka901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:25:01
info,howscored,unknown
info,pitches,pitches
info,oscorer,thors701
info,temp,83
info,winddir,rtol
info,windspeed,15
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,185
info,attendance,27195
info,wp,grays001
info,lp,greiz001
info,save,
start,merrw001,"Whit Merrifield",0,1,8
start,benia002,"Andrew Benintendi",0,2,7
start,wittb002,"Bobby Witt Jr.",0,3,6
start,peres002,"Salvador Perez",0,4,2
start,melem001,"MJ Melendez",0,5,9
start,dozih001,"Hunter Dozier",0,6,3
start,santc002,"Carlos Santana",0,7,10
start,rivee001,"Emmanuel Rivera",0,8,5
play,6,1,celeg001,11,.BCX,9/L9
play,6,1,cavej001,32,BBSCFBX,7/F7D
play,6,1,leons001,22,SBCBS,K
play,7,0,taylm002,32,BCBCBC,K
play,7,0,ohear001,12,SSBC,K
play,7,0,dozih001,00,X,43/G6M
play,7,1,garlk001,11,CBX,S8/L8S
play,7,1,corrc001,00,,NP
sub,hamib001,"Billy Hamilton",1,1,12
play,7,1,corrc001,22,.*B1S+1BFX,D8/L9D.1-3
play,7,1,miraj002,00,X,53/G56S
play,7,1,urshg001,32,CBBBSFFX,9/SF/F9.3-H
play,7,1,gordn001,21,BCBX,7/F7D
play,8,0,massm001,00,,NP
sub,hamib001,"Billy Hamilton",1,1,7
play,8,0,massm001,00,.,NP
sub,cavej001,"Jake Cave",1,8,9
play,8,0,massm001,00,..,NP
sub,thiec001,"Caleb Thielbar",1,0,1
play,8,0,massm001,00,...X,S4/G3
play,8,0,wated001,02,CFS,K
play,8,0,melem001,02,CSX,8/F8S
play,8,0,wittb002,22,BBSSX,9/F9
play,8,1,sancg002,00,,NP
sub,weavl001,"Luke Weaver",0,0,1
play,8,1,sancg002,32,.BBSFBX,63/G56+
play,8,1,celeg001,12,BSFFX,S9/L9LS
play,8,1,cavej001,10,BX,3/G3S-.1-2
play,8,1,leons001,12,CBSS,K
play,9,0,peres002,00,,NP
sub,lopej004,"Jorge Lopez",1,0,1
play,9,0,peres002,10,.BX,S7/L78XD+
play,9,0,pasqv001,02,CSX,46(1)/FO/G34.B-1
play,9,0,taylm002,32,CBB*BFFFFS,K
play,9,0,ohear001,02,FFX,8/F78XD
data,er,cuasj001,0
data,er,greiz001,3
data,er,weavl001,0
data,er,garra001,0
data,er,hernc006,1
data,er,thiec001,0
data,er,grays001,0
data,er,lopej004,0
