id,SLN202304020
version,2
info,visteam,TOR
info,hometeam,SLN
info,site,STL10
info,date,2023/04/02
info,number,0
info,gametype,regular
info,starttime,1:15PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,morag901
info,ump1b,becka901
info,ump2b,iassd901
info,ump3b,barrs901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/28 12:23:54
info,howscored,unknown
info,pitches,pitches
info,oscorer,smitm701
info,temp,63
info,winddir,fromrf
info,windspeed,13
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,149
info,attendance,45525
info,wp,montj004
info,lp,bassc001
info,save,
start,sprig001,"George Springer",0,1,9
start,bichb001,"Bo Bichette",0,2,6
start,guerv002,"Vladimir Guerrero Jr.",0,3,3
start,varsd001,"Daulton Varsho",0,4,8
start,kirka001,"Alejandro Kirk",0,5,10
start,chapm001,"Matt Chapman",0,6,5
start,merrw001,"Whit Merrifield",0,7,7
start,jansd001,"Danny Jansen",0,8,2
play,4,0,mccaj003,11,*BCX,FC3/G34.1-2;B-1
play,4,0,ahmen001,22,CBFBX,D7/L7.3-H;2-H;1-3
play,4,0,moreg001,10,BX,HR/F78XD.3-H;2-H
play,4,0,thoma004,00,X,7/F78
play,4,0,martk001,01,CX,S9/L9S
play,4,0,rojaj001,01,SX,46(1)/FO/G34.B-1
play,4,0,gurrl001,01,C+1X,S8/G6M+.1-2
play,4,0,walkc002,32,CBFBB>F>X,8/F8
play,4,1,mottt001,22,BBCS.FS,K
play,4,1,edmat001,22,CFBBT,K
play,4,1,nootl001,00,,NP
sub,nelsk001,"Kyle Nelson",0,0,1
play,4,1,nootl001,32,.BBCBFB,W
play,4,1,goldp001,12,BSSS,K
play,5,0,longe001,00,,NP
sub,strac001,"Chris Stratton",1,0,1
play,5,0,longe001,22,.BCBF.T,K
play,5,0,mccaj003,11,CBX,63/G6
play,5,0,ahmen001,11,CBX,8/F78S
play,5,1,burla001,12,FC.FBS,K
play,5,1,contw001,12,BCFS,K
play,5,1,gormn001,11,FBX,9/L9
play,6,0,moreg001,11,BCX,53/G6
play,6,0,thoma004,22,BSSBX,8/F8XD+
play,6,0,martk001,32,BBCC.BX,63/G6MS
play,6,1,oneit001,00,,NP
sub,ginkk001,"Kevin Ginkel",0,0,1
play,6,1,oneit001,01,.CX,S9/F3D
play,6,1,carld002,01,CX,D8/F89XD+.1-H
play,6,1,mottt001,22,BBFFX,63/G6
play,6,1,edmat001,31,BC*BBB,W
play,6,1,nootl001,00,,NP
sub,mantj002,"Joe Mantiply",0,0,1
play,6,1,nootl001,02,.CCS,K
play,6,1,goldp001,12,CBCX,8/L8D+
play,7,0,rojaj001,22,BBCFFFFX,S7/L7S
play,7,0,gurrl001,12,C1SFFF.FBX,S56/G6.1-2
play,7,0,walkc002,22,FFFFBBX,9/L9D+.2-3
play,7,0,longe001,00,,NP
sub,romej002,"JoJo Romero",1,0,1
play,7,0,longe001,11,.BCX,S7/L7S+.3-H;1-2
play,7,0,mccaj003,12,LBTX,16(1)3/GDP/G1
play,7,1,burla001,22,BFF.FBX,7/F78D
play,7,1,contw001,00,X,HR/F78XD
play,7,1,gormn001,11,CBX,13/G1+
play,7,1,oneit001,00,,NP
sub,mcgos001,"Scott McGough",0,0,1
play,7,1,oneit001,12,.BFFC,K
play,8,0,ahmen001,00,X,53/G6S
play,8,0,moreg001,31,BBCBB,W
play,8,0,thoma004,12,CTBS,K
play,8,0,martk001,21,C*BBX,53/G56
play,8,1,carld002,12,CBFF.S,K
play,8,1,mottt001,00,X,53/G56
play,8,1,edmat001,11,BCX,3/G1
play,9,0,rojaj001,00,,NP
sub,hickj002,"Jordan Hicks",1,0,1
play,9,0,rojaj001,22,.CBFBS,K.BX1(23)
play,9,0,gurrl001,02,FCS,K
play,9,0,walkc002,20,BBX,S9/L89
play,9,0,longe001,22,*BCFBS,K
play,9,1,nootl001,00,,NP
sub,chafa001,"Andrew Chafin",0,0,1
play,9,1,nootl001,00,.,NP
sub,carrc005,"Corbin Carroll",0,3,7
play,9,1,nootl001,31,..VBCBB,W
play,9,1,goldp001,01,CX,D9/L9LD.1-3
play,9,1,burla001,10,BX,43/G34.3-H;2-3
play,9,1,contw001,31,B*BBCX,HR/F9LD.3-H
play,9,1,gormn001,00,,NP
sub,arenn001,"Nolan Arenado",1,5,11
play,9,1,arenn001,00,.,NP
sub,castm002,"Miguel Castro",0,0,1
play,9,1,arenn001,01,..CX,8/L8
com,"$Cardinals challenged (rules check), call on the field was upheld."
play,9,1,oneit001,31,BBBCB,W
play,9,1,carld002,22,BBCS.>X,53/G6
data,er,mcgos001,0
data,er,nelsk001,0
data,er,jamed003,2
data,er,mantj002,1
data,er,chafa001,3
data,er,ginkk001,1
data,er,castm002,0
data,er,romej002,0
data,er,hickj002,0
data,er,montj004,7
data,er,strac001,1
id,SLN202305050
version,2
info,visteam,DET
info,hometeam,SLN
info,site,STL10
info,date,2023/05/05
info,number,0
info,gametype,regular
info,starttime,7:15PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,valej901
info,ump1b,johna901
info,ump2b,wolcq901
info,ump3b,gonzm901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/06/10 09:05:41
info,howscored,unknown
info,pitches,pitches
info,oscorer,smitm701
