id,PIT202307010
version,2
info,visteam,MIL
info,hometeam,PIT
info,site,PIT08
info,date,2023/07/01
info,number,0
info,gametype,regular
info,starttime,4:05PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,valej901
info,ump1b,muchm901
info,ump2b,johna901
info,ump3b,wolcq901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/08/24 10:02:35
info,howscored,unknown
info,pitches,pitches
info,oscorer,soosr701
info,temp,80
info,winddir,rtol
info,windspeed,7
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,170
info,attendance,35246
info,wp,burnc002
info,lp,oviej001
info,save,payaj001
start,yelic001,"Christian Yelich",0,1,7
start,winkj002,"Jesse Winker",0,2,10
start,adamw002,"Willy Adames",0,3,6
start,tellr001,"Rowdy Tellez",0,4,3
start,carav001,"Victor Caratini",0,5,2
start,andeb006,"Brian Anderson",0,6,5
start,turab002,"Brice Turang",0,7,4
start,perkb002,"Blake Perkins",0,8,8
play,2,0,turab002,00,X,7/SF/F78D.3-H
play,2,0,monaa001,01,CX,S6/G6S.1-2
play,2,0,yelic001,12,BFSX,43/G4
play,2,1,joe-c001,32,BBCFFB.S,K
play,2,1,suwij001,12,CBFS,K
play,2,1,rodre006,21,SBBX,D89/F89XD
play,2,1,pegul001,12,CBSS,K
play,3,0,contw002,21,SBBX,63/G56
play,3,0,santc002,00,X,5/L56
play,3,0,frels001,21,BBCX,S7/G6
play,3,0,adamw002,31,BBC*BB,W.1-2
play,3,0,canhm001,00,X,8/F8
play,3,1,rivaa001,22,BBCF.X,S5/G56S-.B-2(E4/TH)
play,3,1,bae-j001,11,CBB,WP.2-3
play,3,1,bae-j001,21,CBB.X,53/G5S-
play,3,1,hayek001,22,SF*BBS,K
play,3,1,reynb001,32,CS.BBB*S,K.BX1(23)
play,4,0,carav001,00,X,D9/L9L+
play,4,0,turab002,00,X,8/F8D
play,4,0,monaa001,12,F*BCX,S9/L89.2-3
play,4,0,yelic001,01,FX,16(1)3/GDP/G1S
play,4,1,mccua001,02,FFX,D7/F7D+
play,4,1,joe-c001,00,X,9/F89D.2-3
play,4,1,suwij001,10,BX,HR/F8XD.3-H
play,4,1,rodre006,32,BBBCS.C,K
play,4,1,pegul001,22,FCBBX,43/G4
play,5,0,contw002,32,BBCBC.FS,K
play,5,0,santc002,00,X,5/P5F/FL
play,5,0,frels001,11,BCX,43/G4S
play,5,1,rivaa001,02,CSX,53/G56
play,5,1,bae-j001,10,BX,63/G4M
play,5,1,hayek001,32,FBBS.BFX,HR/L78XD
play,5,1,reynb001,12,SBFX,D9/L9LD+
play,5,1,mccua001,12,SCBFF.X,D7/L5D+.2-H
play,5,1,joe-c001,01,CX,8/L8D
play,6,0,adamw002,12,BCS.S,K
play,6,0,canhm001,22,BCBSX,S9/L9
play,6,0,carav001,11,BCX,56(1)3/GDP/G6S
play,6,1,suwij001,32,FCBBFBS,K
play,6,1,rodre006,01,FX,3/G3
play,6,1,pegul001,21,BBCX,63/G6
play,7,0,turab002,00,,NP
sub,mlodc001,"Carmen Mlodzinski",1,0,1
play,7,0,turab002,21,.BBFX,41/G34D
play,7,0,monaa001,22,BBCFX,53/G5
play,7,0,yelic001,32,CBSBBB,W
play,7,0,contw002,11,CBX,S8/G4M.1-2
play,7,0,santc002,32,BBBFS>S,K
play,7,1,rivaa001,00,,NP
sub,milnh001,"Hoby Milner",0,0,1
play,7,1,rivaa001,11,.BCX,43/G34
play,7,1,bae-j001,12,FBFFC,K
play,7,1,hayek001,01,CX,T9/F9D
com,"$Pirates designated hitter Andrew McCutchen left the game due to an injured foot."
play,7,1,reynb001,12,S.B.CC,K
play,8,0,frels001,00,,NP
sub,holdc001,"Colin Holderman",1,0,1
play,8,0,frels001,00,.X,43/G4
play,8,0,adamw002,12,BCS.X,43/G4
play,8,0,canhm001,02,.CSS,K
play,8,1,mccua001,00,,NP
sub,wilsb003,"Bryse Wilson",0,0,1
play,8,1,mccua001,00,.,NP
sub,palaj001,"Joshua Palacios",1,3,11
play,8,1,palaj001,10,..BX,63/G6
play,8,1,joe-c001,21,BCBX,9/F9LS
play,8,1,suwij001,01,CX,S34/G34
play,8,1,rodre006,22,BLBFC,K
play,9,0,carav001,00,.,NP
sub,willa005,"Alika Williams",1,4,6
play,9,0,carav001,00,..,NP
sub,suwij001,"Jack Suwinski",1,5,9
play,9,0,carav001,00,...,NP
sub,pegul001,"Liover Peguero",1,7,4
play,9,0,carav001,00,....,NP
sub,bae-j001,"Ji Hwan Bae",1,9,8
play,9,0,carav001,00,.....,NP
sub,bednd001,"David Bednar",1,0,1
play,9,0,carav001,00,......X,31/G34
play,9,0,turab002,22,BFCFBFX,3/G3+
play,9,0,monaa001,00,,NP
sub,tellr001,"Rowdy Tellez",0,9,11
play,9,0,tellr001,12,.BCC.FX,63/G6
data,er,milnh001,0
data,er,burnc002,4
data,er,wilsb003,0
data,er,ortil003,2
data,er,holdc001,0
data,er,mlodc001,0
data,er,bednd001,0
