id,CIN202306020
version,2
info,visteam,MIL
info,hometeam,CIN
info,site,CIN09
info,date,2023/06/02
info,number,0
info,gametype,regular
info,starttime,5:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,reybd901
info,ump1b,libkj901
info,ump2b,vondc901
info,ump3b,hoyej901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/15 09:03:01
info,howscored,unknown
info,pitches,pitches
info,oscorer,sherb701
info,temp,92
info,winddir,fromlf
info,windspeed,8
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,211
info,attendance,44073
info,wp,pegue001
info,lp,cruzf002
info,save,wilsb003
start,ruf-d001,"Darin Ruf",0,1,3
start,millo002,"Owen Miller",0,2,4
start,contw002,"William Contreras",0,3,10
start,yelic001,"Christian Yelich",0,4,7
start,andeb006,"Brian Anderson",0,5,9
start,monaa001,"Andruw Monasterio",0,6,6
start,wiemj001,"Joey Wiemer",0,7,8
start,carav001,"Victor Caratini",0,8,2
sub,law-d001,"Derek Law",1,0,1
play,8,0,yelic001,10,.BX,5/P6
play,8,0,contw002,32,SSBBBFX,43/G34
play,8,0,adamw002,02,CSF.S,K
play,8,1,bensw001,00,,NP
sub,payaj001,"Joel Payamps",0,0,1
play,8,1,bensw001,00,.X,8/F8
play,8,1,friet001,22,CBBFFS,K
play,8,1,mclam001,12,CBS.FS,K
play,9,0,millo002,00,,NP
sub,cruzf002,"Fernando Cruz",1,0,1
play,9,0,millo002,12,.CBFS,K
play,9,0,carav001,21,BCBX,43/G4D
play,9,0,monaa001,02,CCX,53/G5
play,9,1,fralj001,00,,NP
sub,willd004,"Devin Williams",0,0,1
play,9,1,fralj001,32,.CBBBS.S,K
play,9,1,delae003,01,FX,8/L8D+
play,9,1,indij001,32,CBFBBS,K
data,er,burnc002,0
data,er,pegue001,0
data,er,payaj001,0
data,er,willd004,0
data,er,ashcg001,1
data,er,cruzf002,0
data,er,simsl001,0
data,er,law-d001,0
