id,MIA202307070
version,2
info,visteam,PHI
info,hometeam,MIA
info,site,MIA02
info,date,2023/07/07
info,number,0
info,gametype,regular
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,guccc901
info,ump1b,tomln901
info,ump2b,mosce901
info,ump3b,addir901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/10 07:14:28
info,howscored,unknown
info,pitches,pitches
info,oscorer,jernr701
info,temp,72
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,141
info,attendance,13850
info,wp,hoffj003
info,lp,puk-a001
info,save,kimbc001
start,schwk001,"Kyle Schwarber",0,1,7
start,turnt001,"Trea Turner",0,2,6
start,castn001,"Nick Castellanos",0,3,9
start,harpb003,"Bryce Harper",0,4,10
start,realj001,"J.T. Realmuto",0,5,2
start,stotb001,"Bryson Stott",0,6,4
start,bohma001,"Alec Bohm",0,7,5
start,halld003,"Darick Hall",0,8,3
play,10,0,stubg001,12,CCBFX,43/G4
play,10,0,rojaj003,11,BCX,7/F7LDF/FL
play,10,0,schwk001,32,BBSBSS,K
play,10,1,garca003,00,,NP
sub,castr006,"Rodolfo Castro",0,1,5
play,10,1,garca003,00,.,NP
sub,marsb002,"Brandon Marsh",0,7,7
play,10,1,garca003,00,..,NP
sub,kimbc001,"Craig Kimbrel",0,0,1
radj,chisj001,2
com,"Jazz Chisholm Jr. starts inning at 2nd base."
play,10,1,garca003,00,....N,BK.2-3
play,10,1,garca003,01,....N.CX,43/G4M.3-H(UR)
play,10,1,burgj001,12,FBF.X,S8/G4M
play,10,1,sancj003,32,BBFBSFX,D7/L7LD+.1-3
play,10,1,bertj001,10,BX,9/SF/F9D.3-H
play,10,1,stalj001,20,*BBX,8/L89XD+
play,11,0,bohma001,00,,NP
sub,lopej004,"Jorge Lopez",1,0,1
radj,castr006,2
com,"Rodolfo Castro starts inning at 2nd base."
play,11,0,bohma001,22,..CBCBX,S9/L89.2-H(UR)
play,11,0,harpb003,01,SX,46(1)/FO/G34.B-1
play,11,0,castn001,12,1FBSFFX,9/L9D
play,11,0,stotb001,12,C1FFFBX,D34/G3.1-3
play,11,0,turnt001,01,CX,53/G56
play,11,1,arral001,00,,NP
sub,coved001,"Dylan Covey",0,0,1
radj,stalj001,2
com,"Jacob Stallings starts inning at 2nd base."
play,11,1,arral001,00,..X,8/F8D
play,11,1,solej001,10,BX,53/G56
play,11,1,bellj005,12,FT.BFX,S68/G6.2-H(UR)
play,11,1,chisj001,11,BFX,43/G34
play,12,0,marsb002,00,,NP
sub,scott003,"Tanner Scott",1,0,1
radj,turnt001,2
com,"Trea Turner starts inning at 2nd base."
play,12,0,marsb002,22,..CBCBC,K
play,12,0,stubg001,22,FBBCFFS,K
play,12,0,rojaj003,01,SX,53/G56
radj,chisj001,2
com,"Jazz Chisholm Jr. starts inning at 2nd base."
play,12,1,garca003,30,.VVVV,IW
play,12,1,burgj001,11,SBH,HP.2-3;1-2
play,12,1,sancj003,01,.SX,S7/P5D.3-H(UR);2-3;1-2
data,er,wheez001,2
data,er,coved001,0
data,er,sotog003,1
data,er,hoffj003,0
data,er,stram001,2
data,er,kimbc001,1
data,er,garrb001,3
data,er,brazh001,2
data,er,okers001,0
data,er,scott003,0
data,er,lopej004,0
data,er,narda001,0
data,er,charj001,0
data,er,robed002,1
