id,CHN202305250
version,2
info,visteam,NYN
info,hometeam,CHN
info,site,CHI11
info,date,2023/05/25
info,number,0
info,gametype,regular
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,ortir901
info,ump1b,whitc901
info,ump2b,drakr901
info,ump3b,millb901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/15 09:03:00
info,howscored,unknown
info,pitches,pitches
info,oscorer,speaa701
info,temp,52
info,winddir,fromcf
info,windspeed,16
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,163
info,attendance,35446
info,wp,carrc003
info,lp,hendk001
info,save,
start,nimmb001,"Brandon Nimmo",0,1,8
start,lindf001,"Francisco Lindor",0,2,6
start,mcnej002,"Jeff McNeil",0,3,4
start,alonp001,"Pete Alonso",0,4,3
start,batyb001,"Brett Baty",0,5,5
start,marts002,"Starling Marte",0,6,9
start,voged001,"Daniel Vogelbach",0,7,10
start,canhm001,"Mark Canha",0,8,7
play,5,0,hendg002,10,BX,31/G3.2-3
play,5,0,rutsa001,32,CFBFBBX,6/P78S
play,5,1,madrn001,22,BBFF.FX,S8/L4MD
play,5,1,hoern001,00,,NP
sub,baumm001,"Mike Baumann",0,0,1
play,5,1,hoern001,11,.CBX,96(1)/FO/F9S.B-1
play,5,1,swand001,01,F1X,9/F89
play,5,1,morec001,01,F.X,S8/G6M.1-2
play,5,1,suzus001,11,CBX,8/F89D+
play,6,0,santa003,00,,NP
sub,fulmm001,"Michael Fulmer",1,0,1
play,6,0,santa003,00,.X,D8/F78S
play,6,0,ohear001,02,SC*S,K
play,6,0,haysa001,00,B,WP.2-3
play,6,0,haysa001,22,B.CS.*BS,K
play,6,0,hicka001,32,CBBBFX,43/G34
play,6,1,gomey001,00,,NP
sub,taucm001,"Mike Tauchman",1,5,11
play,6,1,taucm001,32,.BCCBBB,W
play,6,1,manct001,32,BBCBC*B,W.1-2
play,6,1,wisdp001,00,,NP
sub,happi001,"Ian Happ",1,7,11
play,6,1,happi001,00,.,NP
sub,perec004,"Cionel Perez",0,0,1
play,6,1,happi001,12,..CFBN,BK.2-3;1-2
play,6,1,happi001,12,..CFBN.X,S9/G3.3-H;2-H
