id,PHI202204120
version,2
info,visteam,NYN
info,hometeam,PHI
info,site,PHI13
info,date,2022/04/12
info,number,0
info,starttime,6:45PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,hudsm901
info,ump1b,johna901
info,ump2b,tumpj901
info,ump3b,blakr901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:07
info,howscored,unknown
info,pitches,pitches
info,oscorer,golam701
info,temp,72
info,winddir,ltor
info,windspeed,4
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,192
info,attendance,26045
info,wp,megit002
info,lp,wheez001
info,save,diaze006
start,nimmb001,"Brandon Nimmo",0,1,8
start,marts002,"Starling Marte",0,2,9
start,lindf001,"Francisco Lindor",0,3,6
start,alonp001,"Pete Alonso",0,4,3
start,escoe001,"Eduardo Escobar",0,5,5
start,canor001,"Robinson Cano",0,6,10
start,canhm001,"Mark Canha",0,7,7
start,mcnej002,"Jeff McNeil",0,8,4
play,1,0,blacc001,02,FFX,6/P6MD
play,1,0,gricr001,01,CX,8/F89
play,1,1,seguj002,00,X,7/F78
play,1,1,hoskr001,12,CBFS,K
play,1,1,harpb003,22,SBSB*S,K
play,2,0,cronc002,02,CCC,K
play,2,0,mcmar001,11,BSX,9/L9
play,2,0,iglej001,22,BBCFFX,63/G6
play,2,1,castn001,32,BBCFBFB,W
play,2,1,realj001,10,BX,FC5/G56+.1-3(E5/TH);B-2
play,2,1,bohma001,21,BTBX,63/G6.3-H(UR);2-3
play,2,1,vierm001,12,CF*BFFC,K
play,2,1,gregd001,22,BFBCFX,7/L78S
play,3,0,hills005,00,X,T9/L9L+
play,3,0,treja001,00,X,13/G1S
play,3,0,nuned001,32,CB*BBFFB,W
play,3,0,joe-c001,01,SX,4(1)3/GDP/G6M
play,3,1,quinr003,00,X,S5/BG25
play,3,1,seguj002,32,B11CFBB>T,K+SB2
play,3,1,hoskr001,10,B>B,SB3
play,3,1,hoskr001,20,B>B.X,7/SF/F78D.3-H
play,3,1,harpb003,32,BCFBBFX,63/G6
play,4,0,blacc001,32,FFBBFBB,W
play,4,0,gricr001,02,CFFC,K
play,4,0,cronc002,10,BX,9/F9LD
play,4,0,mcmar001,12,1B1FSS,K
play,4,1,castn001,20,BBX,4/L6MD
play,4,1,realj001,12,FSBC,K
play,4,1,bohma001,20,BBX,HR/F78XD
play,4,1,vierm001,01,FX,7/F7
play,5,0,iglej001,22,SBBFX,63/G6
play,5,0,hills005,32,CFFBBBFFFB,W
play,5,0,treja001,12,B1S1FS,K
play,5,0,nuned001,32,BBC*BS>F>F>B,W.1-2
play,5,0,joe-c001,02,CCT,K
play,5,1,gregd001,00,X,1/G3S
play,5,1,quinr003,11,CBX,7/F7
play,5,1,seguj002,12,CFBX,63/G6
play,6,0,blacc001,00,X,53/G34
play,6,0,gricr001,12,CFBS,K
play,6,0,cronc002,32,CFBBBS,K
play,6,1,hoskr001,10,BX,9/F89D+
play,6,1,harpb003,02,SFFX,S8/L78
play,6,1,castn001,12,B1C1FF>FF1,POCS2(1341)
play,6,1,castn001,22,B1C1FF>FF1.FBFS,K
play,7,0,mcmar001,00,,NP
sub,handb001,"Brad Hand",1,0,1
play,7,0,mcmar001,00,.X,S1/BG23.B-2(E1/TH)
play,7,0,iglej001,12,CBCFX,S7/L78.2-3
play,7,0,hills005,32,BBBCSX,46(1)/FO/G34.3-H;B-1
play,7,0,treja001,02,F1CX,S7/L78S.1-2
play,7,0,nuned001,00,,NP
sub,diaze005,"Elias Diaz",0,9,11
play,7,0,diaze005,00,.,NP
sub,norwj001,"James Norwood",1,0,1
play,7,0,diaze005,00,..X,7/F78D
play,7,0,joe-c001,10,BX,2/P3SF/FL
play,7,1,realj001,00,,NP
sub,diaze005,"Elias Diaz",0,9,2
play,7,1,realj001,00,.,NP
sub,kinlt001,"Tyler Kinley",0,0,1
play,7,1,realj001,30,..BBBB,W
play,7,1,bohma001,01,CX,8/L8D+
play,7,1,vierm001,21,F1BB>B,SB2
play,7,1,vierm001,31,F1BB>B.B,W
play,7,1,gregd001,12,CFFFBX,E3/G34.2-3;1-2;B-1
play,7,1,quinr003,30,BBBB,W.3-H;2-3;1-2
play,7,1,seguj002,01,CX,S8/F78D.3-H(UR);2-3;1-2
play,7,1,hoskr001,21,BCBX,2/P2F/FL
play,7,1,harpb003,00,,NP
sub,lawrj002,"Justin Lawrence",0,0,1
play,7,1,harpb003,00,.H,HP.3-H(UR);2-3;1-2
play,7,1,castn001,32,CBBFB>B,W.3-H(UR);2-3;1-2
play,7,1,realj001,11,BFX,46(1)/FO/G4+.B-1
play,8,0,blacc001,00,,NP
sub,bella001,"Andrew Bellatti",1,0,1
play,8,0,blacc001,11,.BTX,53/G34
play,8,0,gricr001,12,CBCS,K
play,8,0,cronc002,11,FBX,D7/F7LD
play,8,0,mcmar001,31,BBSBN,DI.2-3
play,8,0,mcmar001,31,BBSBN.B,W
play,8,0,iglej001,12,CFFFBFX,64(1)/FO/G6D.B-1
play,8,1,bohma001,12,SCBS,K
play,8,1,vierm001,02,CSFS,K
play,8,1,gregd001,02,CFS,K
play,9,0,hills005,00,,NP
sub,joned003,"Damon Jones",1,0,1
play,9,0,hills005,31,.BCBBB,W
play,9,0,treja001,32,CBBFFBX,9/F34D
play,9,0,diaze005,22,BBFFS,K
play,9,0,joe-c001,22,BBCCFS,K
data,er,gomba001,2
data,er,kinlt001,1
data,er,lawrj002,0
data,er,wheez001,0
data,er,norwj001,0
data,er,bella001,0
data,er,handb001,1
data,er,joned003,0
id,PHI202205040
version,2
info,visteam,TEX
info,hometeam,PHI
info,site,PHI13
info,date,2022/05/04
info,number,0
info,starttime,6:45PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,vanol901
info,ump1b,bacce901
info,ump2b,barbs901
info,ump3b,rackd901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:33
info,howscored,unknown
info,pitches,pitches
info,oscorer,golam701
info,temp,65
info,winddir,tocf
info,windspeed,2
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,194
info,attendance,21315
info,wp,bushm001
info,lp,handb001
info,save,barlj001
start,lowen001,"Nathaniel Lowe",0,1,3
start,semim001,"Marcus Semien",0,2,4
start,seagc001,"Corey Seager",0,3,6
start,garca005,"Adolis Garcia",0,4,8
start,calhk001,"Kole Calhoun",0,5,9
start,garvm001,"Mitch Garver",0,6,2
start,reksz001,"Zach Reks",0,7,7
start,millb002,"Brad Miller",0,8,5
start,ibana001,"Andy Ibanez",0,9,10
start,perem004,"Martin Perez",0,0,1
start,bohma001,"Alec Bohm",1,1,5
start,castn001,"Nick Castellanos",1,2,9
start,harpb003,"Bryce Harper",1,3,10
start,hoskr001,"Rhys Hoskins",1,4,3
start,realj001,"J.T. Realmuto",1,5,2
start,schwk001,"Kyle Schwarber",1,6,7
start,seguj002,"Jean Segura",1,7,4
start,gregd001,"Didi Gregorius",1,8,6
start,vierm001,"Matt Vierling",1,9,8
start,wheez001,"Zack Wheeler",1,0,1
play,1,0,lowen001,02,SCFX,31/G3
play,1,0,semim001,00,X,D8/L89D
play,1,0,seagc001,12,BFCC,K
play,1,0,garca005,02,CSX,8/L8D
play,1,1,bohma001,12,SSBS,K
play,1,1,castn001,01,CX,S9/G34
play,1,1,harpb003,31,B*BCBX,36(1)/FO/G34.B-1
play,1,1,hoskr001,12,CBF1S,K
play,2,0,calhk001,12,FBCX,S9/L9LD+
play,2,0,garvm001,01,CX,54(1)3/GDP/G56
play,2,0,reksz001,12,BFFS,K
play,2,1,realj001,22,CBBCX,13/G6MS
play,2,1,schwk001,21,BFBX,8/F89XD
play,2,1,seguj002,12,CBSS,K
play,3,0,millb002,01,LX,3/L34+
play,3,0,ibana001,00,X,43/G4
play,3,0,lowen001,22,CBBSC,K
play,3,1,gregd001,12,BFFFX,S8/F78
play,3,1,vierm001,10,BX,64(1)3/GDP/G6+
play,3,1,bohma001,00,X,6/L6
play,4,0,semim001,00,X,S5/G5
play,4,0,seagc001,00,1X,7/F6D
play,4,0,garca005,10,BX,46(1)3/GDP/G4M
play,4,1,castn001,10,BX,9/L9D+
play,4,1,harpb003,10,BX,3/G3
play,4,1,hoskr001,32,BBBCFC,K
play,5,0,calhk001,10,BX,31/G34
play,5,0,garvm001,02,SCS,K
play,5,0,reksz001,00,X,S7/F7LS
play,5,0,millb002,32,BBBCF>X,1/P1
play,5,1,realj001,32,CBBBSB,W
play,5,1,schwk001,30,BB1BB,W.1-2
play,5,1,seguj002,11,CBX,64(1)3/GDP/G6M+.2-3
play,5,1,gregd001,01,FX,31/G34
play,6,0,ibana001,02,CFS,K
play,6,0,lowen001,12,BSSX,S46/G4M
